"","rok","tyden","natural","nafta","lpg"
"225",2009,33,28.58,26.52,12.19
"226",2010,33,31.84,30.86,14.48
"227",2011,33,34.81,34.37,16.94
"228",2012,33,36.78,36.06,16.98
"229",2013,33,36.85,36.51,16.91
"230",2009,34,29.33,27.05,12.2
"231",2010,34,31.72,30.77,14.45
"232",2011,34,34.46,34,16.95
"233",2012,34,37.36,36.64,17.04
"234",2013,34,36.78,36.46,16.88
"235",2009,35,29.12,26.9,12.2
"236",2010,35,31.51,30.62,14.41
"237",2011,35,34.29,33.89,16.91
"238",2012,35,38.04,37.21,16.96
"239",2013,35,36.82,36.52,16.9
"240",2009,36,28.96,26.84,12.19
"241",2010,36,31.4,30.53,14.4
"242",2011,36,34.16,33.71,16.93
"243",2012,36,38.12,37.25,16.97
"244",2013,36,36.82,36.51,16.94
"245",2009,37,28.81,26.75,12.2
"246",2010,37,31.47,30.49,14.39
"247",2011,37,34.73,34.54,16.85
"248",2012,37,38.08,37.22,17.03
"249",2013,37,37.07,36.81,16.97
"250",2009,38,28.59,26.6,12.22
"251",2010,38,31.63,30.69,14.4
"252",2011,38,34.89,34.67,16.81
"253",2012,38,38.51,37.23,17.4
"254",2013,38,37.02,36.8,17.2
"255",2009,39,28.26,26.35,12.25
"256",2011,39,34.84,34.6,16.77
"257",2013,39,36.8,36.72,17.2
"258",2009,40,27.93,26.07,12.17
"259",2010,40,31.38,30.54,14.34
"260",2011,40,34.83,34.6,16.79
"261",2012,40,37.93,36.92,17.66
"262",2013,40,36.54,36.51,17.09
"263",2009,41,27.67,25.86,12.08
"264",2010,41,31.24,30.47,14.32
"265",2011,41,34.71,34.51,16.8
"266",2012,41,37.91,36.96,17.66
"267",2013,41,36.32,36.35,17.05
"268",2009,42,27.46,25.74,11.99
"269",2010,42,31.52,30.72,14.36
"270",2011,42,34.73,34.63,16.76
"271",2012,42,37.78,36.9,17.8
"272",2013,42,35.98,36.18,16.93
"273",2009,43,27.43,26.05,11.95
"274",2010,43,31.57,30.62,14.38
"275",2012,43,37.63,37.05,17.81
"276",2013,43,35.78,36.09,17.02
"277",2009,44,27.95,26.56,11.96
"278",2010,44,31.46,30.63,14.38
"279",2011,44,34.87,34.99,16.72
"280",2012,44,37.24,36.96,17.79
"281",2009,45,28.47,27,11.96
"282",2010,45,31.38,30.52,14.38
"283",2011,45,34.78,34.96,16.75
"284",2012,45,36.77,36.83,17.83
"285",2013,45,35.56,35.91,17.03
"286",2009,46,28.74,27.18,12.06
"287",2010,46,31.38,30.59,14.62
"288",2011,46,34.88,35.09,16.81
"289",2012,46,36.16,36.49,17.8
"290",2013,46,35.51,35.87,17.01
"291",2009,47,28.68,27.14,12.47
"292",2010,47,31.76,31.11,15
"293",2011,47,35.17,35.56,16.77
"294",2012,47,35.76,36.22,17.96
"295",2013,47,35.49,35.86,17.16
"296",2009,48,28.58,27.06,12.58
"297",2010,48,31.61,30.95,14.89
"298",2011,48,35.13,35.63,16.83
"299",2012,48,35.49,36.15,18.07
"300",2013,48,35.99,36.26,17.55
"301",2009,49,28.72,27.17,12.65
"302",2010,49,31.91,31.18,15.62
"303",2011,49,35.05,35.66,17.18
"304",2012,49,35.36,36.13,18.09
"305",2009,50,28.57,27.05,12.73
"306",2010,50,33.04,32.11,16.7
"307",2011,50,34.96,35.59,17.2
"308",2012,50,35.19,35.99,18.21
"309",2009,51,28.47,27,12.76
"310",2011,51,34.89,35.53,17.2
"311",2012,51,34.99,35.71,18.25
